common_name,scientific_name,max_size,temp_low,temp_high,ph_low,ph_high,min_tank,aggressive,schooling,min_group,tank_level,lifespan,image_link
Oscar - Red,Astronotus ocellatus,16,74,81,6,8,65,TRUE,FALSE,1,mid,15,https://iili.io/24cFst.jpg
Oscar - Lemon,Astronotus ocellatus,16,74,81,6,8,65,TRUE,FALSE,1,mid,15,https://iili.io/24c2zN.jpg
Otocinclus,Otocinclus vittatus,1.5,72,79,6.8,7.5,10,FALSE,TRUE,6,mid-bottom,3,https://iili.io/24cfqX.jpg
Pencilfish - Dwarf,Nannostomus marginatus,1,70,82,5,8,10,FALSE,TRUE,10,top-mid,5,https://iili.io/24czml.png
Pencilfish - Beckfords/Golden,Nannostomus beckfordi,1.5,70,82,5,8,15,FALSE,TRUE,10,top-mid,5,https://iili.io/24cBgs.png
Pencilfish - Coral Red,Nannostomus mortenthaleri,1.25,70,82,5,8,15,FALSE,TRUE,10,top-mid,5,https://iili.io/24co7f.png
Pencilfish - Shining,Nannostomus nitidus,1.25,70,82,5,8,15,FALSE,TRUE,10,top-mid,5,https://iili.io/24cndG.jpg
Pencilfish - Two Stripe,Nannostomus digrammus,1.25,70,82,5,8,15,FALSE,TRUE,10,top-mid,5,https://iili.io/24cxe4.jpg
Platy - Bleeding Heart,Xiphophorus maculatus,2.5,70,77,6.8,8,10,FALSE,TRUE,3,mid,3,https://iili.io/24cTI2.jpg
Platy - Neon Blue Wag,Xiphophorus maculatus,2.5,70,77,6.8,8,10,FALSE,TRUE,3,mid,3,https://iili.io/24c71e.png
Platy - Golden Comet,Xiphophorus maculatus,2.5,70,77,6.8,8,10,FALSE,TRUE,3,mid,3,https://iili.io/24cAL7.jpg
Platy - Coral Red,Xiphophorus maculatus,2.5,70,77,6.8,8,10,FALSE,TRUE,3,mid,3,https://iili.io/24cTI2.jpg
Platy - Hawaii,Xiphophorus variatus,3,72,75,6.8,8,10,FALSE,TRUE,3,mid,3,https://iili.io/24c5B9.jpg
Platy - Marigold,Xiphophorus variatus,3,72,75,6.8,8,10,FALSE,TRUE,3,mid,3,https://iili.io/24ccdb.png
Platy - Mickey Mouse,Xiphophorus maculatus,2.5,70,77,6.8,8,10,FALSE,TRUE,3,mid,3,https://iili.io/24cYru.png
Platy - Salt and Pepper,Xiphophorus maculatus,2.5,70,77,6.8,8,10,FALSE,TRUE,3,mid,3,https://iili.io/24cl7j.png
Platy - Sunset,Xiphophorus variatus,3,72,75,6.8,8,10,FALSE,TRUE,3,mid,3,https://iili.io/24c0kx.jpg
Pleco - Bristlenose,Ancistrus cirrhosus,5,73,81,5.8,7.8,40,FALSE,FALSE,1,bottom,10,https://iili.io/24c1mQ.png
Pleco - Clown,Panaqolus maccus,4,73,81,5.8,7.8,40,FALSE,FALSE,1,bottom,10,https://iili.io/24cGIV.jpg
Pleco - Rubber Lip,Chaetostomus milesi,5,73,81,5.8,7.8,40,FALSE,FALSE,1,bottom,10,https://iili.io/24cMhB.jpg
